query_id,runtime_sec,prematerialized,predicted_next
Q1,0.1979057788848877,True,Q2
Q2,0.1501905918121338,True,Q3
Q3,0.2537670135498047,True,Q1
Q1,0.13561749458312988,True,Q2
Q4,0.13834786415100098,True,Q3
Q3,0.135392427444458,True,Q1
Q1,0.1573200225830078,True,Q2
Q2,0.14286375045776367,True,Q3
Q3,0.13777780532836914,True,Q1
Q1,0.13736438751220703,True,Q2
Q4,0.13789963722229004,True,Q3
Q3,0.13967204093933105,True,Q1
Q5,0.18975186347961426,True,Q1
Q1,0.13504672050476074,True,Q2
Q2,0.2687814235687256,True,Q3
Q3,0.13733291625976562,True,Q1
Q1,0.13589978218078613,True,Q2
Q4,0.13499164581298828,True,Q3
Q3,0.16893315315246582,True,Q1
Q1,0.14259696006774902,True,Q2
Q2,0.2438499927520752,True,Q3
Q3,0.13840913772583008,True,Q1
Q1,0.13966751098632812,True,Q2
Q4,0.1388390064239502,True,Q3
Q3,0.13332724571228027,True,Q1
Q2,0.13732075691223145,True,Q3
Q1,0.24677753448486328,True,Q2
Q2,0.2331371307373047,True,Q3
Q3,0.13829803466796875,True,Q1
Q1,0.13827013969421387,True,Q2
Q4,0.13471579551696777,True,Q3
Q3,0.13630270957946777,True,Q1
Q5,0.14230084419250488,True,Q1
Q2,0.1904125213623047,True,Q3
Q1,0.2071394920349121,True,Q2
Q2,0.20748639106750488,True,Q3
Q3,0.135725736618042,True,Q1
Q1,0.23329734802246094,True,Q2
Q4,0.22617220878601074,True,Q3
Q3,0.13541245460510254,True,Q1
Q5,0.14389967918395996,True,Q1
Q1,0.13597536087036133,True,Q2
Q2,0.13658857345581055,True,Q3
Q3,0.237654447555542,True,Q1
Q1,0.13413143157958984,True,Q2
Q4,0.13667654991149902,True,Q3
Q3,0.13446044921875,True,Q1
